Rating,Comment,Review_text
4,Delightful,"Build quality 5Display 5Colors 3Storage capacity 5Performance 4 (Because phone becomes slightly slow while performing multiple functions) Camera 4 (Because night clicks are not at all up to the mark, daylight shots are clean but you get best quality only in 64 pixel shots, normal clicks would have been better) Battery 5 absolutely amazing. Worth the price?10 stars....!!Definitely yes... Amazing phone you can get in this price compare to other brands. If you are looking for be...READ MORE"
2,Very Disappointed with this phone,Its too big & very heavy too. Have the 1st Generation Moto phone which is still working much better than this phone. that was the perfect size which fits into the pocket very nicely. Battery life is also very bad. As everyone can see the reviews the camera is also bad. the 3 finger touch screenshot capture also doesn't work many a times. sound quality also not very good. Expected a much much better product after reading the specifications. But utterly disappointed with the product. Advice is ...READ MORE
5,Terrific purchase,"Camera is average...If you are not the one who is camera centric then I think it would be desirable to buy moto g30. Display is dull compared to other smartphones in this range. Battery- It is giant and nobody can beat moto with respect to battery performance. Gesture add on is a unique feature of moto which is praiseworthy. No heating issues, long battery pack up and fastness of this phone is what attracted me most. Overall a good buy.READ MORE"
5,Best in the market!,"It is nice but expected a better performance, because motrola is a very good brand .But this is good phone so guys go for it.READ MORE"
4,Very Good,Don't expect much. Camera is good in outdoor but struggle in low light. Battery is good enough for one full day. Performance is above average. It is a value for money product. Far better than '12' in similar price range.READ MORE
5,Mind-blowing purchase,"Best look, perfect camera with n number of options, perfect battery backup, sound is just too awesome seems like I'm playing on speakers, screen size is big, came with a back cover in the pack. Perfect option under this price range.READ MORE"
4,Good choice,"It has 64 MP quad camera that's good it depends upon how you click picture,90 HZ frequency which is nice at this price point, 5000 mAh battery that's also nice, display size is also good, screen could have been more clear when you will see it from side picture will look black, if it would have been super amoled it would have been great experience, ram is 4 GB that is good but processors could have been little bit better, it has light sensor which will adjust your phone light according, face s...READ MORE"
5,Awesome,"Nice camera setup 👍 . It's not a Chinese phone , performance good at this price point , battery life good , support fast charging ,very decently placed notification light . Wrist twist camera open gesture , metal gril placement in speaker on top.vaule for money phone strong build qualityREAD MORE"
5,Excellent,"I am proud to mention that I own Moto G30 and chose the same over nord.What I like -It's compact.Display is not the best like you get in flagship phones but yeah considering the price point it is definitely at par with the devices in this range.Processor is more than enough if you're not a pro gamer and every other task feels so smooth. Infact the entire device feels fast in daily normal usage.Google has taken care of every small detail like haptics, microphone, speakers minimalistic ...READ MORE"
4,Nice product,Hmm... Well it's good for less usage definitely not recommending to people who always stick on their phones🍁 best for mothers and grandparents kind of...READ MORE
3,Fair,"I bought moto g30 and there are mainly 3 reasons not to buy it. A) 720p screen, like no one wants that.. But good enough for  spare phone. B) There is no way to change SOS calling, on pressing the power button 3 times by mistake the phone will call the emergency helpline, mine does it once a day. Thanks moto. C) They have a secondary physical button which summons the Google assist, there is no way to remap it, it's totally useless. It's fine as a temporary phone or a backup phone, it can't be...READ MORE"
4,Nice product,Value for money. Gesture feature is fun. Hey Google works like a charm. Power button position accidentally turns of phone. Display & sound are good for what you paid. Camera is ok. Charging is fast. Go for it if want all rounder under 10kREAD MORE
4,Pretty good,It's good product by Motorola i am preferring this by using MOTO G TURBO ..NOW THIS IS ALSO very good mobile and price Worthy.thanks Motorola..For introducing..Such productREAD MORE
5,Terrific,Phone is very goodCamera - 3.5Battery -4.5Display - 3.5Performance - 4.0Look - 4.0Design - 3.5All the above considering the price range and specs given.Overall a very good decive must go.READ MORE
5,Fabulous!,Best budget phone Go for it👍🏻READ MORE
4,Nice product,Best Smartphone on this Price rangeThank you FlipcartREAD MORE
5,Fabulous!,"the very first day I thought the front cam is worst.But actually the camera provides best quality, we just need to learn how to take photos.Do proper settings The camera by default gives natural photos, we need to do changes in the settings if you want makeup and showoff selfies 😅READ MORE"
5,Great product,Superb all rounder product by motorolaREAD MORE
5,Awesome,"At this price range this is the best smartphone, that's it! There's nothing more you needwith damn looks 😍Camera                  4*Battery                   5*Performance        4*Look                       5*READ MORE"
5,Fabulous!,"Moto is always better than redmi ,vivo , oppo and etc..READ MORE"
5,Brilliant,"Superb,  mind blowing,  value for money 👌👌👌READ MORE"
5,Great product,Fantastic phone i love motorolaREAD MORE
5,Classy product,"Absolutely brilliant phone. Pure android experience at its best. Once you use this phone, you will not want to use any other phone.ProsNo adware, bloatwareVery fast and responsiveExcellent screenTop class camera and pro camera optionGood soundExcellent network signal and internet speedSturdy built.Good battery performance.Haven't found any cons yet.READ MORE"
5,Fabulous!,Most value for money mobile. I brought this after using Moto 5g for 5 months. Both the mobiles are best in market in comparison to other brands as per quality at low price. Totally value for money. Thanks Moto for giving superior quality mobile at low price.READ MORE
5,Wonderful,"This time it was really nice, and this phone is real, thanks flipkartREAD MORE"
3,Good,Brought it..just to take good pictures.. however camera is just ordinary which doesn't have quality of 64MPREAD MORE
4,Very Good,Camera clearity is good n night mode is too good but battery drain too earlyREAD MORE
5,Just wow!,Good mobile for this price rangeREAD MORE
4,Good quality product,Very beautiful Phone best budget PhoneBest 📸READ MORE
5,Excellent,"QUALITY FANTASTIC, MODEL LOOKING NICE, COLOUR COOL, PERFORMANCE VERY HIGH. CORRECT PRODUCT AND ACCESSORIES RECEIVED.THANK YOU MOTOROLA AND FLIPKART.READ MORE"
4,Very Good,64 mega pixel but clearly not showREAD MORE
5,Great product,"Nice phone in good range, good camera quality in such range phoneREAD MORE"
4,Very Good,Awesome 👍READ MORE
5,Great product,Nice phone in this range. But looking slightly bulky. Front camera is average. Back camera is awesome.READ MORE
5,Best in the market!,At this price point phone was so good If you want to purchase go for it..👌Camera 5/5Performance 5/5Battery 5/5Looks 5/5Value for money go for itREAD MORE
4,Wonderful,Awesome phone very nice camera and battery but display might be goodREAD MORE
2,Bad quality,"I'm using this mobile for last 1 month. Few drawbacks encountered:1. Worst battery performance. Previously I was using MotoG5s+ which had almost a complete day battery power even after 3 yrs of use, but this device hardly survive for 12hrs.2. Slow charging. Since Motorola is providing Turbocharger, but I don't know why it takes about 4 hrs to charge fully, and discharge within 7-10 hrs.3. Camera quality. So many functions are there for camera, but they are useless if resolution and dpi is ...READ MORE"
5,Mind-blowing purchase,I loved it value for money I like it awesomeREAD MORE
4,Wonderful,"This phone is for who loves Stock OS... Battery draining too fast...Battery: Approx 24hrs for normal usage (Call, whatsapp) &If u r looking battery monster den dis is nt fr u. I'm disappointed about batteryCamera: For this price it's good (if u r looking 4 camera centric phone den this is nt 4 u)Display: Not badConsidering to other rivals (r..lme, r..mi, o.p., V..o) this is good phone especially for those who love Stock OS...READ MORE"
4,Really Nice,"Good phone in this range with stock Android .My first Android , switched from ios to Android this time,,😀READ MORE"
5,Must buy!,"Perfect product by Motorola.Battery is ExcellentCamera quality is also very fine, as it depends on the photographer how he/she capture.Fast ChargingOne can go for it.READ MORE"
4,Worth the money,Not bad but clearty not 64MPREAD MORE
4,Good quality product,Yeah its a good product..READ MORE
1,Very poor,After using mobile I am writing a review that the performance on the mobile is low. While normal using of mobile automatically restarting which never expected from motorola. I the fan of motorola but it disappointed me. Motorola team and flipkart team to act on these. Please do the necessary action and rectify the issue or replace the mobile.READ MORE
5,Brilliant,"Don't go on the negative reviews , those people are habitual to the chinese phones which are unreliable. I bought this beautiful set and its worth buying i am sure atleast it won't blast in my hands. 😜READ MORE"
5,Excellent,Good phone with great performanceREAD MORE
5,Wonderful,Great phone 🔥🥰.READ MORE
5,Mind-blowing purchase,"Wonderful Product.  Budget phone, Camera & battery  Superb, and Display also nice.READ MORE"
5,Great product,Front camara is okBack camera is goodNight vision not all good.READ MORE
1,Worthless,I am very  disappointed from Motorola.. specifically  camera.. camera looks like 8 mp but they said 64.. really???READ MORE
5,Mind-blowing purchase,SuperREAD MORE
5,Perfect product!,Nice MobileREAD MORE
4,Good quality product,Look niceREAD MORE
5,Must buy!,Excellent mobile for a good price.PROSGood battery lifePure Android experience without bloatware and adwareGood camera with pro camera90hz displayFast processing CONSnot muchLittle bit bulky.READ MORE
5,Simply awesome,5 rating above... excellent mobile battery after full charge lasts 2 days... excellent camera very fast....no cons... best mobile at this price...READ MORE
4,Good choice,Based on my experiences with Moto G3 and X Play devices this could be a bit more simpler in matters of usability. It would be appreciated even though this bulky and heavier design is an R&D deviation with higher focus on Camera and Graphics. Turbo charging too takes above 2hours to get it full.READ MORE
5,Classy product,Those who are looking decent smartphone ..classy then  go.for moto G30 .value for money and performance is good..it won't disappoint you.READ MORE
5,Mind-blowing purchase,"Best phone in this range, battery backup is awesome. Camera quality is also Good. The images are clear even in night mode and ultra Resolution camera gives us grt images.Battery if i use whole day with internet last for 1and half daysREAD MORE"
1,Very poor,This is most worst phone I have purchased in my life before I purchased three phones from Flipkart but this time experience is not good. My review on this phone Camera Rear camera is 64 mp but it not more then 13 mp very poor pixel Night sensor zero % workBattery performance is good its charging is not according 20v no fast charging Sound quality is ok Display is also okSim and card having hybrid slot My suggestion for young generation don't buy this phone at all.READ MORE
4,Good quality product,Very grateful my moto g30 phoneREAD MORE
5,Awesome,Camera just awesome inbuilt editor is just like pro .. it's a fully super phone..READ MORE
4,Nice product,if anyone have low budget then go with Motorola G30 best phone in low price and camera quality is average not too goodREAD MORE
5,Awesome,GreatREAD MORE
4,Worth the money,Very nice 👍READ MORE
5,Worth every penny,Very good produced Good camera 64mpREAD MORE
5,Brilliant,Super fast delivery and excellent job by delivery boyREAD MORE
5,Great product,Sooo happy..Thanku sooooo much flipcartREAD MORE
4,Good quality product,Very nice phoneREAD MORE
5,Mind-blowing purchase,Very best qualityREAD MORE
4,Really Nice,Awesome phone.. Thanks FlipkartREAD MORE
4,Nice product,"Overall great phone. But, even the Dark Pearl color is a lot light shade. It looks more like silver under bright light.READ MORE"
5,Terrific,Fantastic phone with amazing features at reasonable priceREAD MORE
4,Good choice,Good for the price. Stock android experienceCamera 2/5READ MORE
1,Utterly Disappointed,Was expecting a better product considering Motorola as a brand .. Camera is worse ... Video playing experience is bad too.20 watt charging takes 2.5 to 3 hrs to fullREAD MORE
4,Good choice,GoodREAD MORE
1,Horrible,Not looks as similar as picture. Very poor camera performance. Getting hang also. Night vision 64MP camera is fake n not working. Waste of moneyREAD MORE
5,Excellent,Good Delivery Service.READ MORE
1,Hated it!,Have hanging problemREAD MORE
5,Highly recommended,Good mobile.READ MORE
4,Wonderful,Nice phoneREAD MORE
4,Worth the money,"Performance is good. Battery lasts for 30hrs for an average usage on 4g.Camera quality is average , you need to edit settings for better picture.In colour shots is working.Almost using 100+ apps on it . Touch & screen quality is best.Hybrid sim slots but am using two sims instead of MMC card.Finger print sensor is a quick.Face unlock is a bit slow.Have played games without a lag ...I have ordered dark pearl 64 gb .READ MORE"
5,Terrific,Nice one...Google assistant key is available..READ MORE
5,Brilliant,Value for money...One of the excellent product. I received within 24 hours after ordering. Thank u flipkartREAD MORE
1,Horrible,"Hybrid slot, not good compare to other phones. Camera also not good. Hanging problemREAD MORE"
1,Hated it!,The camera is bad. It's tooo bad that I will never buy a motorola mobile again.READ MORE
1,Very poor,"If u r looking for a budgeted smartphone than this phone is for you must buy..This is my 5th Moto phone Moto never disappoints Don't hesitate go for it, sure u gonna like itREAD MORE"
5,Classy product,"Size Waight is Good, Camera Average But Price Also Low so ok, Battery Good,Rs  9999 with sbi credit card offer,READ MORE"
4,Very Good,"Phones overall performance is good at this price segment, but their camera performance in like 24 mega pixel ..READ MORE"
5,Must buy!,Mobile is very good 😃☺️😃READ MORE
5,Fabulous!,Very nice moto jiREAD MORE
5,Must buy!,Good oneREAD MORE
5,Highly recommended,One word Excellent and Value for money.READ MORE
5,Must buy!,Good product good cameraREAD MORE
5,Classy product,I got the genuine productREAD MORE
4,Good choice,Required 128+6 gb option.Expected some upgrade processor.READ MORE
5,Simply awesome,"It's a good phone, good camera, would recommendREAD MORE"
5,Terrific,Not bad in this price range.READ MORE
5,Terrific,Budget mobile.Happy man.READ MORE
5,Terrific purchase,"Best phone in this range with 90Hz display and 64MP quad camera, fast charging and much more.READ MORE"
5,Fabulous!,Very good quality and very good Flipkart Service for Dilivery in two daysREAD MORE
2,Slightly disappointed,Face lock quality is very poorBattery performance is also average not as a 5000 mAh battery work'sREAD MORE
3,Fair,Charging time is 0 To 100% is 3.30min it's not a fast charging. Please develop this option in this productREAD MORE
4,Wonderful,It is a good budget phone which can be used for daily purposes such as calling & Social Media. Battery is good which will give you a whole day power with single charge...Preferred for students for online class purposes only...This phone does support gaming but there are heating issues and some lags while playing Huge games such as COD....READ MORE
3,Decent Phone - Avg Camera - Ok for Money,"Let me list out all the pros and cons of this Moto G30. Pros: -Stock Android -Overall Build and Quality - -Price (11k) -USB C Charging-Display 90 hz, you can watch videos more smoothly and more frames per second. Cons: -Camera is avg at best, Disappointed with moto. 64 MP is just on paper, its quality is not that good, but then again its a 11k phone. -Extra Button for Google assistant is waste and useless. -Fast Charging problem is its Fast Draining also, thats why I am using third...READ MORE"
5,Fabulous!,"Does the job.Pros:Battery. Large display. Android version.Cons:Llittle lag while using multiple apps at a time.Camera is not up to the mark but fine for this price.Display is not HD+, for this price they can at least provide HD+ display.Final verdict:Good mobile packed with everything for a reasonable price.READ MORE"
5,Mind-blowing purchase,Nice productREAD MORE
3,Just okay,Not badREAD MORE
5,Highly recommended,Value for money phoneBest phone in this rangeCamera is awesomeI love itREAD MORE
5,Mind-blowing purchase,Add free phone 😊READ MORE
5,Terrific,Excellent phone normal day to day users.. simple and cleanREAD MORE
4,Pretty good,Camera quality medium but otherwise okREAD MORE
4,Delightful,It is a great phone..... I loved itREAD MORE
3,Just okay,Don't expect too much.This is good in this price..READ MORE
3,Does the job,Panel colour is not the same as mentioned.Much heavier.Headset is not available in the boxOnly have mobile and charger .READ MORE
4,Really Nice,colour is different from what colour is shown here and everything is wonderful.It has turbocharging too which is not specified here. I Loved this mobile phone.READ MORE
5,Brilliant,GoodREAD MORE
4,Really Nice,It gets heated while charging .Too hot .Camera is okPerformance is goodBatter is perfect.Some new features with android 11.READ MORE
4,Wonderful,"It should be full HD at this price, more than 10 k any phone should have full HD,,READ MORE"
5,Wonderful,Value for money.. Avg phoneREAD MORE
5,Terrific,very nice productREAD MORE
3,Just okay,"For some apps UI not supporting, for some apps it's difficult to go backwards, charging slowly. I upgraded g3 to g30 so, feeling betterREAD MORE"
3,Fair,"Disappointed with the product. 64mp camera is not upto the mark. Image quality is not good. 13 mp primary camera is also not good. 5000mah battery takes much time to charge full. But drains too fast. Phone Lags frequently ... Dissatisfaction. Waste of money. Please try some other products like mi , realme etc in this range.READ MORE"
3,Good,Best phone under 10000READ MORE
5,Must buy!,Good Only....READ MORE
4,Wonderful,Good product for  simple usersREAD MORE
3,Good,"Front camera is worstGets heated while using mobile internet, works fine with wifiHeavy and bigger sizeDisplay is goodREAD MORE"
4,Value-for-money,GoodREAD MORE
3,Decent product,Camera is very poorREAD MORE
4,Very Good,NycREAD MORE
4,Really Nice,Charging is fast but phone gets heat while charging.READ MORE
5,Best in the market!,It's awesome product..!!!And i must say that delivery is so fast...!!!READ MORE
4,Really Nice,Nice mobileREAD MORE
4,Nice product,Camera goodREAD MORE
3,Fair,Slightly heating issue during charging.Camera avarage quality (as per 64MP)READ MORE
5,Best in the market!,Good nice phoneREAD MORE
3,Does the job,Battery capacity not good slowly chargingREAD MORE
5,Best in the market!,Value for money and Working goodREAD MORE
5,Classy product,Before ontime delivered...Great Filpkart..READ MORE
5,Mind-blowing purchase,Moto provide best economic phone.Flipkart shows again there bad service.....1) told arrive in 1hr and come after 6 hrs2) for minor thing they deduct ammount in exchange mobileREAD MORE
5,Excellent,Very good phone....READ MORE
3,Does the job,Performance wise very disappointed. For cost okPico m3 far better with 6gb ram and 128gb storage.READ MORE
2,Could be way better,This phone is not as expected. Camera is very poor quality and the battery is avarage.  Battery life is draining too fast. It is not a good phone. This phone make me very disapointed.READ MORE
3,Nice,Phone is not bad.READ MORE
5,Excellent,GoodREAD MORE
1,Absolute rubbish!,"received Moto g30 before 4 days , mobile heating issue with new mobileREAD MORE"
1,Worst Motorola G series Product Everrrr!!!,"Until now I used Moto G (Firsts Generation) for almost 7 years now and it still works like a charm.. but to upgrade I bought this new Moto G30 thinking it is going to be far better than its predecessors, but it's the worst phone ever by motorola. It has a 64MP AI quad camera which captures the worst quality pictures and it is literally slower in performance and hangs quite a lot. It overheats quickly and even though it has a 5000MAh battery it doesn't last that long. I'm very very disappointe...READ MORE"
1,Don't waste your money,Worst battery!! Don't buy.. Battery doesn't not stay even a day long for screen hours less than 2 hrs a day.. don't buy this. Writing feedback after 2 days of usage..READ MORE
1,Useless product,Not satisfied with the camera.64 mp camera is not better than my 13 mp camera phoneREAD MORE
1,Waste of money!,"Camera  was worst quality, but mentioned  64mp, charging  time take more  hrs, bad experienceREAD MORE"
2,Bad quality,"Very poor performance and poor camera, battery when compared to other moto phones. Colour is not as shown in images.READ MORE"
1,Absolute rubbish!,"Terrible phone !! Screen display  is average, camera is below average. Not worth the hype and doesn't do justice to hard earned money. I tried to return it on Flipkart but didn't work out,  was left with no option but to order another phone of redmi....it's a pity that money is wastedREAD MORE"
1,Worst experience ever!,"After using turbocharger for two hours, the battery does not get charged to 100%. It gets discharged very fast. I replaced my earlier phone mainly for this reason. Thoroughly disappointed.READ MORE"
5,Simply awesome,This mobile is awesomeREAD MORE
5,Fabulous!,Very good mobile this is best for me in my budgetThanks MotoREAD MORE
5,Perfect product!,EXCELLENTREAD MORE
1,Waste of money!,"Don't buy this phone ,at this price it is completely waste of money , it's processor is worst, coming to camera it's 64 mp takes piks like 2 mp zoom is waste  only again coming to the battery not even giving backup for one day also with no use finally I would like to say you that ,this mobile is worst,😰😰😰😰😰even while uploading these images I got problem s,I am not happy with this phoneREAD MORE"
4,Value-for-money,Review after first day usage..Camera is not at all good..Poor performance of camera..Screen size is large..Phone is little bit bulky...Fast charging takes mosre than 1 hr to become 100% from 50%Based on this Budget not bad.. Don't expect more..READ MORE
2,Expected a better product,Camera is not goodREAD MORE
3,Decent product,"I'm sure the camera is not 64MP,it's a trick to attract peopleREAD MORE"
5,Perfect product!,Good phone value for this money.READ MORE
5,Terrific,Good luckingREAD MORE
5,Worth every penny,camera cwolitiy bestREAD MORE
1,Unsatisfactory,"Dont buy very thirdclass phone.and flipkart facility very painfull i sufferd for It has not been 10 days for the useless mobile, neither Flipkart is giving any response nor is Flipkart doing any solution DONT BUY THIS MOBILEREAD MORE"
2,Moderate,problem charging is a very slowlyREAD MORE
1,Utterly Disappointed,"The mobile is heating up very quickly and the battery drains very fast.  On top of it, there is some issue with audio jack.  Flipkart can't handle the issue.  Don't try this mobileREAD MORE"
5,Simply awesome,Might be good but motorola can optimise their software...READ MORE
4,Value-for-money,Good phone for this priceREAD MORE
5,Worth every penny,Ratings as Per My Use since 5days.Camera 4Battery 4Performance 4Body Design 5Gaming 3.5Charging time 3hrsBattery backup 2.5days with or without data.Accessories ChargerMobile coverREAD MORE
5,Just wow!,A good phone in budget priceREAD MORE
5,Fabulous!,Very nice phone and great performance.READ MORE
1,Battery draining quickly.,Pros:Excellent phone with smooth user experience. Cons:1. Camera quality  is not up to mark. Image processing is not good. 2. Battery draining in normal usage quickly.READ MORE
5,Terrific,"Best phone at this budget and much better than realme ,redmi poco,oppo,vivo and samsungREAD MORE"
5,Simply awesome,Very good productREAD MORE
4,Very Good,GoodREAD MORE
3,Does the job,"Average phone, poor camera.READ MORE"
1,Horrible,Not good this phone battery is not goodREAD MORE
1,Very poor,Display glass quality is very poor. It had broken on 1 feet height without tempered glass when I was doing charge my mobile camera quality so poor it like only 2 mp cameraREAD MORE
5,Great product,Best mobile under 10k budget. Fully satisfied with the featuresREAD MORE
5,Simply awesome,NiceREAD MORE
5,Highly recommended,AwesomeREAD MORE
4,Value-for-money,Very good 😊READ MORE
1,Absolute rubbish!,Camera quality is very poor. Not recommending this phone if you are looking for good camera quality.READ MORE
5,Perfect product!,Value for moneyREAD MORE
5,Just wow!,Good phoneREAD MORE
4,Good quality product,Simply awesome for professional and above 25 of age with peace of mind for data protection and stock androidREAD MORE
5,Just wow!,GoodREAD MORE
5,Terrific,very good at this price... stock android 11. No Ads... superb..READ MORE
1,Don't waste your money,I expected more but this is just ok productREAD MORE
1,Unsatisfactory,China phone 2 or 5 mp camera is better.They said 64 mp camera it's better 5 mp can give better pictures. Worst camera. I exchanged resmi note 7 pro. Feeling bad that unnecessarily I gave my old mobile. Camera is worst worst.READ MORE
4,Wonderful,AwesomeREAD MORE
5,Mind-blowing purchase,I just love everything about this phone Every thing on it it's super....!!READ MORE
1,Worst experience ever!,Heating problem within 5min useREAD MORE
1,Horrible,"1. Camera quality very bad, 2. Battery drain very fast. 3. UI lagging.3. Network and wifi good.Most important after purchasing flipkart will not help for return.READ MORE"
1,Hated it!,Camera quality is very poor.it shows 64megapixel but image quality like as 5 megapixel. Mobile Hang and automatically restartREAD MORE
4,Good choice,Nice phoneREAD MORE
4,Value-for-money,Overall product is good but I don't understand why my battery drain so fast 😐READ MORE
1,Horrible,The worst ever Motorola phone ever ... Worst camera and I have been using moto phones from feature models ...Takes lot of time of charging though they mentioned turbo charging . Stated 64mp camera but it's some where 5 mp frankly .. utterly disappointed .I have bought this in their first release but got a lesson not to purchase in the first sale....Pls don't buy this . It's fine of you get some other chinese phones in this budgetREAD MORE
1,Waste of money!,Worst phone and  flipcart also worst👎 never buy anything from flipcartREAD MORE
5,Wonderful,"IN LOVE WITH THE PHONE!!! MUST BUY!!! ITS EVEN GOT A COVER, I LOVE IT!!!READ MORE"
2,Moderate,Disappointed by Motorola first time this product has poor camera quality (as it's promising 64MP) and it's heating on normal usage to..READ MORE
5,Highly recommended,AmazingREAD MORE
1,Worst experience ever!,Automatically e insert sim all apps fast not openSpeaker volume very low disturb calling talk I am not satisfied this mobileREAD MORE
1,Don't waste your money,Bettery backup v bad sound also bad all over not goodREAD MORE
5,Perfect product!,Very good product ❤️very good cameraREAD MORE
2,Bad quality,Camera quality is not goodREAD MORE
